종목코드,종목명,날짜,시가,고가,저가,종가,거래량,MA5,MA10,MA20
005380,현대차,2026-01-30,"516,000","517,000","500,000","500,000","3,028,677","500,300원","504,850원","436,875원"
005380,현대차,2026-01-29,501000,529000,494000,528000,5431226,"502,300원","496,150원",N/A
005380,현대차,2026-01-28,505000,506000,490500,492500,2514604,"502,500원","485,550원",N/A
005380,현대차,2026-01-27,473000,499000,469000,488500,4492400,"513,800원","477,450원",N/A
005380,현대차,2026-01-26,499000,515000,490000,492500,3680159,"511,900원","469,200원",N/A
005380,현대차,2026-01-23,530000,543000,500000,510000,4774169,"509,400원","456,650원",N/A
005380,현대차,2026-01-22,586000,590000,525000,529000,7176207,"490,000원","442,250원",N/A
005380,현대차,2026-01-21,468000,551000,467500,549000,7830202,"468,600원","423,400원",N/A
005380,현대차,2026-01-20,494000,496500,460500,479000,5235613,"441,100원","403,550원",N/A
005380,현대차,2026-01-19,420000,487000,419500,480000,5990850,"426,500원","386,450원",N/A
005380,현대차,2026-01-16,426500,426500,408000,413000,2589883,"403,900원","368,900원",N/A
005380,현대차,2026-01-15,409500,425000,405000,422000,2864894,"394,500원",N/A,N/A
005380,현대차,2026-01-14,406500,413500,398000,411500,2861932,"378,200원",N/A,N/A
005380,현대차,2026-01-13,380500,413500,378000,406000,5463622,"366,000원",N/A,N/A
005380,현대차,2026-01-12,383000,383500,358500,367000,3027809,"346,400원",N/A,N/A
005380,현대차,2026-01-09,349000,369000,340000,366000,3104258,"333,900원",N/A,N/A
005380,현대차,2026-01-08,361000,361000,338000,340500,3053301,N/A,N/A,N/A
005380,현대차,2026-01-07,314000,362000,313000,350500,7764177,N/A,N/A,N/A
005380,현대차,2026-01-06,318000,330000,304000,308000,3346949,N/A,N/A,N/A
005380,현대차,2026-01-05,302500,310000,302000,304500,1292161,N/A,N/A,N/A
